"id","tITI","period_short","zone","mean_step"
"sub-01","0.032","fwd","early",0.0666666666666667
"sub-01","0.032","fwd","late",0.133333333333333
"sub-01","0.032","bwd","early",0.666666666666667
"sub-01","0.032","bwd","late",-0.466666666666667
"sub-01","0.064","fwd","early",-0.8
"sub-01","0.064","fwd","late",0.733333333333333
"sub-01","0.064","bwd","early",0.466666666666667
"sub-01","0.064","bwd","late",0.0666666666666667
"sub-01","0.128","fwd","early",0
"sub-01","0.128","fwd","late",0.0666666666666667
"sub-01","0.128","bwd","early",0.6
"sub-01","0.128","bwd","late",-0.333333333333333
"sub-01","0.512","fwd","early",-1
"sub-01","0.512","fwd","late",0.533333333333333
"sub-01","0.512","bwd","early",0.6
"sub-01","0.512","bwd","late",-0.8
"sub-01","2.048","fwd","early",-0.466666666666667
"sub-01","2.048","fwd","late",0.5
"sub-01","2.048","bwd","early",0.633333333333333
"sub-01","2.048","bwd","late",-0.566666666666667
"sub-02","0.032","fwd","early",0.533333333333333
"sub-02","0.032","fwd","late",0.733333333333333
"sub-02","0.032","bwd","early",0.333333333333333
"sub-02","0.032","bwd","late",-0.133333333333333
"sub-02","0.064","fwd","early",0.0666666666666667
"sub-02","0.064","fwd","late",0.666666666666667
"sub-02","0.064","bwd","early",-0.133333333333333
"sub-02","0.064","bwd","late",-0.6
"sub-02","0.128","fwd","early",0.466666666666667
"sub-02","0.128","fwd","late",0.6
"sub-02","0.128","bwd","early",0.133333333333333
"sub-02","0.128","bwd","late",0
"sub-02","0.512","fwd","early",-0.466666666666667
"sub-02","0.512","fwd","late",1.4
"sub-02","0.512","bwd","early",-0.333333333333333
"sub-02","0.512","bwd","late",0.6
"sub-02","2.048","fwd","early",-0.233333333333333
"sub-02","2.048","fwd","late",0.633333333333333
"sub-02","2.048","bwd","early",0.166666666666667
"sub-02","2.048","bwd","late",-0.3
"sub-03","0.032","fwd","early",0.133333333333333
"sub-03","0.032","fwd","late",-0.0666666666666667
"sub-03","0.032","bwd","early",0.2
"sub-03","0.032","bwd","late",0.2
"sub-03","0.064","fwd","early",-0.2
"sub-03","0.064","fwd","late",-0.266666666666667
"sub-03","0.064","bwd","early",0.133333333333333
"sub-03","0.064","bwd","late",0.733333333333333
"sub-03","0.128","fwd","early",-0.533333333333333
"sub-03","0.128","fwd","late",0.0666666666666667
"sub-03","0.128","bwd","early",-0.466666666666667
"sub-03","0.128","bwd","late",0.933333333333333
"sub-03","0.512","fwd","early",-0.466666666666667
"sub-03","0.512","fwd","late",0.4
"sub-03","0.512","bwd","early",0.466666666666667
"sub-03","0.512","bwd","late",-0.6
"sub-03","2.048","fwd","early",-0.333333333333333
"sub-03","2.048","fwd","late",0.7
"sub-03","2.048","bwd","early",0.466666666666667
"sub-03","2.048","bwd","late",-0.0333333333333333
"sub-04","0.032","fwd","early",-0.733333333333333
"sub-04","0.032","fwd","late",0.6
"sub-04","0.032","bwd","early",0.666666666666667
"sub-04","0.032","bwd","late",-0.333333333333333
"sub-04","0.064","fwd","early",-0.466666666666667
"sub-04","0.064","fwd","late",0.4
"sub-04","0.064","bwd","early",0.466666666666667
"sub-04","0.064","bwd","late",-0.2
"sub-04","0.128","fwd","early",0.6
"sub-04","0.128","fwd","late",-0.466666666666667
"sub-04","0.128","bwd","early",0.333333333333333
"sub-04","0.128","bwd","late",-0.466666666666667
"sub-04","0.512","fwd","early",-0.666666666666667
"sub-04","0.512","fwd","late",0.266666666666667
"sub-04","0.512","bwd","early",-0.266666666666667
"sub-04","0.512","bwd","late",-0.266666666666667
"sub-04","2.048","fwd","early",-0.433333333333333
"sub-04","2.048","fwd","late",0.5
"sub-04","2.048","bwd","early",0.4
"sub-04","2.048","bwd","late",-0.566666666666667
"sub-05","0.032","fwd","early",0.2
"sub-05","0.032","fwd","late",0
"sub-05","0.032","bwd","early",0.133333333333333
"sub-05","0.032","bwd","late",-0.333333333333333
"sub-05","0.064","fwd","early",0
"sub-05","0.064","fwd","late",0.133333333333333
"sub-05","0.064","bwd","early",0.133333333333333
"sub-05","0.064","bwd","late",0.0666666666666667
"sub-05","0.128","fwd","early",-0.4
"sub-05","0.128","fwd","late",0.333333333333333
"sub-05","0.128","bwd","early",1.13333333333333
"sub-05","0.128","bwd","late",0.6
"sub-05","0.512","fwd","early",-0.733333333333333
"sub-05","0.512","fwd","late",-0.2
"sub-05","0.512","bwd","early",-0.133333333333333
"sub-05","0.512","bwd","late",-0.4
"sub-05","2.048","fwd","early",-0.366666666666667
"sub-05","2.048","fwd","late",0.433333333333333
"sub-05","2.048","bwd","early",0.566666666666667
"sub-05","2.048","bwd","late",-0.833333333333333
"sub-06","0.032","fwd","early",0.0666666666666667
"sub-06","0.032","fwd","late",0.466666666666667
"sub-06","0.032","bwd","early",-0.0666666666666667
"sub-06","0.032","bwd","late",-0.533333333333333
"sub-06","0.064","fwd","early",1.2
"sub-06","0.064","fwd","late",0.4
"sub-06","0.064","bwd","early",-0.2
"sub-06","0.064","bwd","late",-0.466666666666667
"sub-06","0.128","fwd","early",0.666666666666667
"sub-06","0.128","fwd","late",0.666666666666667
"sub-06","0.128","bwd","early",-0.533333333333333
"sub-06","0.128","bwd","late",-0.4
"sub-06","0.512","fwd","early",-0.2
"sub-06","0.512","fwd","late",-0.0666666666666667
"sub-06","0.512","bwd","early",-0.466666666666667
"sub-06","0.512","bwd","late",-0.666666666666667
"sub-06","2.048","fwd","early",-0.2
"sub-06","2.048","fwd","late",0.366666666666667
"sub-06","2.048","bwd","early",0.4
"sub-06","2.048","bwd","late",-0.566666666666667
"sub-07","0.032","fwd","early",-0.333333333333333
"sub-07","0.032","fwd","late",-0.0666666666666667
"sub-07","0.032","bwd","early",0.666666666666667
"sub-07","0.032","bwd","late",-0.133333333333333
"sub-07","0.064","fwd","early",-1.26666666666667
"sub-07","0.064","fwd","late",0.266666666666667
"sub-07","0.064","bwd","early",0.4
"sub-07","0.064","bwd","late",-0.466666666666667
"sub-07","0.128","fwd","early",-0.133333333333333
"sub-07","0.128","fwd","late",-0.266666666666667
"sub-07","0.128","bwd","early",0.0666666666666667
"sub-07","0.128","bwd","late",0.266666666666667
"sub-07","0.512","fwd","early",-0.0666666666666667
"sub-07","0.512","fwd","late",1
"sub-07","0.512","bwd","early",0.266666666666667
"sub-07","0.512","bwd","late",0.8
"sub-07","2.048","fwd","early",-0.3
"sub-07","2.048","fwd","late",0.433333333333333
"sub-07","2.048","bwd","early",0.466666666666667
"sub-07","2.048","bwd","late",-0.533333333333333
"sub-08","0.032","fwd","early",-1
"sub-08","0.032","fwd","late",0.0666666666666667
"sub-08","0.032","bwd","early",-0.8
"sub-08","0.032","bwd","late",-0.0666666666666667
"sub-08","0.064","fwd","early",0.466666666666667
"sub-08","0.064","fwd","late",0.133333333333333
"sub-08","0.064","bwd","early",-0.4
"sub-08","0.064","bwd","late",-0.266666666666667
"sub-08","0.128","fwd","early",1.26666666666667
"sub-08","0.128","fwd","late",-0.666666666666667
"sub-08","0.128","bwd","early",-0.133333333333333
"sub-08","0.128","bwd","late",-0.4
"sub-08","0.512","fwd","early",0
"sub-08","0.512","fwd","late",-0.4
"sub-08","0.512","bwd","early",0.133333333333333
"sub-08","0.512","bwd","late",0.533333333333333
"sub-08","2.048","fwd","early",0.0333333333333333
"sub-08","2.048","fwd","late",-0.0333333333333333
"sub-08","2.048","bwd","early",0.0333333333333333
"sub-08","2.048","bwd","late",-0.2
"sub-09","0.032","fwd","early",0.0666666666666667
"sub-09","0.032","fwd","late",0.4
"sub-09","0.032","bwd","early",0.133333333333333
"sub-09","0.032","bwd","late",0.0666666666666667
"sub-09","0.064","fwd","early",-0.4
"sub-09","0.064","fwd","late",0.4
"sub-09","0.064","bwd","early",-0.2
"sub-09","0.064","bwd","late",0.2
"sub-09","0.128","fwd","early",-0.133333333333333
"sub-09","0.128","fwd","late",-0.2
"sub-09","0.128","bwd","early",0.2
"sub-09","0.128","bwd","late",-0.733333333333333
"sub-09","0.512","fwd","early",-0.333333333333333
"sub-09","0.512","fwd","late",0.533333333333333
"sub-09","0.512","bwd","early",-0.2
"sub-09","0.512","bwd","late",-0.4
"sub-09","2.048","fwd","early",-0.166666666666667
"sub-09","2.048","fwd","late",0.533333333333333
"sub-09","2.048","bwd","early",-0.133333333333333
"sub-09","2.048","bwd","late",-0.633333333333333
"sub-10","0.032","fwd","early",-0.2
"sub-10","0.032","fwd","late",-0.4
"sub-10","0.032","bwd","early",-0.2
"sub-10","0.032","bwd","late",0.466666666666667
"sub-10","0.064","fwd","early",0.2
"sub-10","0.064","fwd","late",0
"sub-10","0.064","bwd","early",0.266666666666667
"sub-10","0.064","bwd","late",0.133333333333333
"sub-10","0.128","fwd","early",-0.733333333333333
"sub-10","0.128","fwd","late",0.333333333333333
"sub-10","0.128","bwd","early",-0.333333333333333
"sub-10","0.128","bwd","late",0.6
"sub-10","0.512","fwd","early",-0.4
"sub-10","0.512","fwd","late",0.533333333333333
"sub-10","0.512","bwd","early",-0.0666666666666667
"sub-10","0.512","bwd","late",-1
"sub-10","2.048","fwd","early",-0.366666666666667
"sub-10","2.048","fwd","late",0.0666666666666667
"sub-10","2.048","bwd","early",0.566666666666667
"sub-10","2.048","bwd","late",-0.566666666666667
"sub-11","0.032","fwd","early",0.333333333333333
"sub-11","0.032","fwd","late",-0.4
"sub-11","0.032","bwd","early",-0.4
"sub-11","0.032","bwd","late",-0.133333333333333
"sub-11","0.064","fwd","early",0.466666666666667
"sub-11","0.064","fwd","late",-0.466666666666667
"sub-11","0.064","bwd","early",-0.6
"sub-11","0.064","bwd","late",-0.133333333333333
"sub-11","0.128","fwd","early",-0.333333333333333
"sub-11","0.128","fwd","late",-0.6
"sub-11","0.128","bwd","early",0.466666666666667
"sub-11","0.128","bwd","late",-0.733333333333333
"sub-11","0.512","fwd","early",0
"sub-11","0.512","fwd","late",0
"sub-11","0.512","bwd","early",-0.4
"sub-11","0.512","bwd","late",-0.266666666666667
"sub-11","2.048","fwd","early",-0.0333333333333333
"sub-11","2.048","fwd","late",0.133333333333333
"sub-11","2.048","bwd","early",0.166666666666667
"sub-11","2.048","bwd","late",-0.6
"sub-12","0.032","fwd","early",0.2
"sub-12","0.032","fwd","late",1.06666666666667
"sub-12","0.032","bwd","early",-0.533333333333333
"sub-12","0.032","bwd","late",0.6
"sub-12","0.064","fwd","early",0.0666666666666667
"sub-12","0.064","fwd","late",1.4
"sub-12","0.064","bwd","early",-0.133333333333333
"sub-12","0.064","bwd","late",-0.4
"sub-12","0.128","fwd","early",-0.2
"sub-12","0.128","fwd","late",0.866666666666667
"sub-12","0.128","bwd","early",-0.4
"sub-12","0.128","bwd","late",0.0666666666666667
"sub-12","0.512","fwd","early",-0.133333333333333
"sub-12","0.512","fwd","late",0.533333333333333
"sub-12","0.512","bwd","early",-0.0666666666666667
"sub-12","0.512","bwd","late",0.0666666666666667
"sub-12","2.048","fwd","early",-0.266666666666667
"sub-12","2.048","fwd","late",0.6
"sub-12","2.048","bwd","early",-0.1
"sub-12","2.048","bwd","late",-0.366666666666667
"sub-13","0.032","fwd","early",0.8
"sub-13","0.032","fwd","late",-0.266666666666667
"sub-13","0.032","bwd","early",-0.333333333333333
"sub-13","0.032","bwd","late",-0.266666666666667
"sub-13","0.064","fwd","early",0.4
"sub-13","0.064","fwd","late",0.466666666666667
"sub-13","0.064","bwd","early",-0.6
"sub-13","0.064","bwd","late",-0.266666666666667
"sub-13","0.128","fwd","early",1.4
"sub-13","0.128","fwd","late",0
"sub-13","0.128","bwd","early",-0.533333333333333
"sub-13","0.128","bwd","late",-0.533333333333333
"sub-13","0.512","fwd","early",-0.133333333333333
"sub-13","0.512","fwd","late",0.733333333333333
"sub-13","0.512","bwd","early",-0.8
"sub-13","0.512","bwd","late",-0.466666666666667
"sub-13","2.048","fwd","early",-0.4
"sub-13","2.048","fwd","late",0.4
"sub-13","2.048","bwd","early",-0.0333333333333333
"sub-13","2.048","bwd","late",-0.633333333333333
"sub-14","0.032","fwd","early",-0.4
"sub-14","0.032","fwd","late",0.6
"sub-14","0.032","bwd","early",-0.866666666666667
"sub-14","0.032","bwd","late",1.26666666666667
"sub-14","0.064","fwd","early",0.8
"sub-14","0.064","fwd","late",-0.4
"sub-14","0.064","bwd","early",-0.2
"sub-14","0.064","bwd","late",0.2
"sub-14","0.128","fwd","early",0.733333333333333
"sub-14","0.128","fwd","late",-0.0666666666666667
"sub-14","0.128","bwd","early",0
"sub-14","0.128","bwd","late",0.333333333333333
"sub-14","0.512","fwd","early",-0.2
"sub-14","0.512","fwd","late",-0.133333333333333
"sub-14","0.512","bwd","early",-0.333333333333333
"sub-14","0.512","bwd","late",-0.4
"sub-14","2.048","fwd","early",-0.233333333333333
"sub-14","2.048","fwd","late",0.0333333333333333
"sub-14","2.048","bwd","early",0.2
"sub-14","2.048","bwd","late",-0.466666666666667
"sub-15","0.032","fwd","early",-0.266666666666667
"sub-15","0.032","fwd","late",0.2
"sub-15","0.032","bwd","early",0.4
"sub-15","0.032","bwd","late",-0.333333333333333
"sub-15","0.064","fwd","early",0.666666666666667
"sub-15","0.064","fwd","late",-0.4
"sub-15","0.064","bwd","early",0.0666666666666667
"sub-15","0.064","bwd","late",-0.266666666666667
"sub-15","0.128","fwd","early",-0.666666666666667
"sub-15","0.128","fwd","late",0.8
"sub-15","0.128","bwd","early",0.466666666666667
"sub-15","0.128","bwd","late",-0.133333333333333
"sub-15","0.512","fwd","early",-0.133333333333333
"sub-15","0.512","fwd","late",1.26666666666667
"sub-15","0.512","bwd","early",-0.333333333333333
"sub-15","0.512","bwd","late",-0.0666666666666667
"sub-15","2.048","fwd","early",-0.5
"sub-15","2.048","fwd","late",0.6
"sub-15","2.048","bwd","early",-0.4
"sub-15","2.048","bwd","late",-0.133333333333333
"sub-16","0.032","fwd","early",-0.466666666666667
"sub-16","0.032","fwd","late",1.13333333333333
"sub-16","0.032","bwd","early",0.6
"sub-16","0.032","bwd","late",0
"sub-16","0.064","fwd","early",0.133333333333333
"sub-16","0.064","fwd","late",0.133333333333333
"sub-16","0.064","bwd","early",-0.533333333333333
"sub-16","0.064","bwd","late",0
"sub-16","0.128","fwd","early",-0.333333333333333
"sub-16","0.128","fwd","late",0.133333333333333
"sub-16","0.128","bwd","early",0.333333333333333
"sub-16","0.128","bwd","late",0.6
"sub-16","0.512","fwd","early",-0.666666666666667
"sub-16","0.512","fwd","late",0.0666666666666667
"sub-16","0.512","bwd","early",0.266666666666667
"sub-16","0.512","bwd","late",-0.266666666666667
"sub-16","2.048","fwd","early",-0.333333333333333
"sub-16","2.048","fwd","late",0.533333333333333
"sub-16","2.048","bwd","early",0.3
"sub-16","2.048","bwd","late",-0.5
"sub-17","0.032","fwd","early",-0.4
"sub-17","0.032","fwd","late",0.133333333333333
"sub-17","0.032","bwd","early",0.8
"sub-17","0.032","bwd","late",0.333333333333333
"sub-17","0.064","fwd","early",-0.133333333333333
"sub-17","0.064","fwd","late",0.0666666666666667
"sub-17","0.064","bwd","early",0
"sub-17","0.064","bwd","late",0
"sub-17","0.128","fwd","early",-0.6
"sub-17","0.128","fwd","late",0
"sub-17","0.128","bwd","early",0.466666666666667
"sub-17","0.128","bwd","late",-0.666666666666667
"sub-17","0.512","fwd","early",-0.2
"sub-17","0.512","fwd","late",0.466666666666667
"sub-17","0.512","bwd","early",0.2
"sub-17","0.512","bwd","late",-0.466666666666667
"sub-17","2.048","fwd","early",-0.7
"sub-17","2.048","fwd","late",0.466666666666667
"sub-17","2.048","bwd","early",0.666666666666667
"sub-17","2.048","bwd","late",-0.633333333333333
"sub-18","0.032","fwd","early",-0.733333333333333
"sub-18","0.032","fwd","late",0
"sub-18","0.032","bwd","early",-0.4
"sub-18","0.032","bwd","late",0.333333333333333
"sub-18","0.064","fwd","early",-0.333333333333333
"sub-18","0.064","fwd","late",-0.333333333333333
"sub-18","0.064","bwd","early",-0.333333333333333
"sub-18","0.064","bwd","late",1.06666666666667
"sub-18","0.128","fwd","early",-0.333333333333333
"sub-18","0.128","fwd","late",-0.0666666666666667
"sub-18","0.128","bwd","early",0.933333333333333
"sub-18","0.128","bwd","late",-0.466666666666667
"sub-18","0.512","fwd","early",-0.533333333333333
"sub-18","0.512","fwd","late",0.0666666666666667
"sub-18","0.512","bwd","early",-0.733333333333333
"sub-18","0.512","bwd","late",0.2
"sub-18","2.048","fwd","early",-0.366666666666667
"sub-18","2.048","fwd","late",0.333333333333333
"sub-18","2.048","bwd","early",0.7
"sub-18","2.048","bwd","late",-0.6
