"id","interference","event","probability"
"sub-01","forward","1",12.415493958303
"sub-01","forward","2",15.2448423519779
"sub-01","forward","none",5.72409012327258
"sub-01","backward","1",16.610328348017
"sub-01","backward","2",14.8529101018689
"sub-01","backward","none",7.85099801911512
"sub-02","forward","1",14.6194722867898
"sub-02","forward","2",18.0479289770457
"sub-02","forward","none",7.83757322073955
"sub-02","backward","1",19.2086501974289
"sub-02","backward","2",16.4379573748288
"sub-02","backward","none",8.96554315756826
"sub-03","forward","1",19.3082472001126
"sub-03","forward","2",20.2381125740686
"sub-03","forward","none",10.5992568646264
"sub-03","backward","1",14.9528033897778
"sub-03","backward","2",7.69039744375414
"sub-03","backward","none",10.8170365425303
"sub-04","forward","1",14.0894055432474
"sub-04","forward","2",21.0175492701401
"sub-04","forward","none",10.7639991441941
"sub-04","backward","1",26.7539433058708
"sub-04","backward","2",13.7785482484146
"sub-04","backward","none",12.0793844336963
"sub-05","forward","1",13.5020993433071
"sub-05","forward","2",17.8932338880477
"sub-05","forward","none",7.03931877067219
"sub-05","backward","1",13.1087574905274
"sub-05","backward","2",8.85521133877752
"sub-05","backward","none",7.80043068669826
"sub-06","forward","1",10.1165830560081
"sub-06","forward","2",18.4270256038983
"sub-06","forward","none",13.6670179010565
"sub-06","backward","1",19.0589071322849
"sub-06","backward","2",5.95213927931551
"sub-06","backward","none",10.8272740540695
"sub-07","forward","1",12.0954171813459
"sub-07","forward","2",19.5136186495548
"sub-07","forward","none",8.66372445285977
"sub-07","backward","1",9.78311918411768
"sub-07","backward","2",11.4290821377222
"sub-07","backward","none",9.19610728937162
"sub-08","forward","1",11.3460290093351
"sub-08","forward","2",15.5275438531314
"sub-08","forward","none",9.99530458339366
"sub-08","backward","1",12.7766217218714
"sub-08","backward","2",11.1387961608643
"sub-08","backward","none",10.4230403631678
"sub-09","forward","1",11.4912845222008
"sub-09","forward","2",14.2784780707504
"sub-09","forward","none",12.2574086176486
"sub-09","backward","1",14.2315274733611
"sub-09","backward","2",23.5979767483907
"sub-09","backward","none",7.52649491803515
"sub-10","forward","1",16.1643177138624
"sub-10","forward","2",12.7737633066722
"sub-10","forward","none",11.4748842755435
"sub-10","backward","1",17.6738527694332
"sub-10","backward","2",21.8702727879836
"sub-10","backward","none",13.0523907830726
"sub-11","forward","1",9.59320548788617
"sub-11","forward","2",36.799158167436
"sub-11","forward","none",11.3799181972278
"sub-11","backward","1",15.3037549143644
"sub-11","backward","2",21.5105657916464
"sub-11","backward","none",14.330716148222
"sub-12","forward","1",5.56523139887173
"sub-12","forward","2",21.5031720513417
"sub-12","forward","none",11.2576523852289
"sub-12","backward","1",18.2903301463084
"sub-12","backward","2",16.6970159146801
"sub-12","backward","none",11.7771522959652
"sub-13","forward","1",8.85020141577368
"sub-13","forward","2",15.0075012286243
"sub-13","forward","none",9.38591266112194
"sub-13","backward","1",18.5924060177872
"sub-13","backward","2",10.6358734766794
"sub-13","backward","none",10.5949176810552
"sub-14","forward","1",4.29622167486391
"sub-14","forward","2",20.6847417957669
"sub-14","forward","none",14.5839359556491
"sub-14","backward","1",17.0631299513351
"sub-14","backward","2",22.5563539707111
"sub-14","backward","none",10.4746322184427
"sub-15","forward","1",8.59618195837938
"sub-15","forward","2",16.0998989512682
"sub-15","forward","none",8.38774114680285
"sub-15","backward","1",18.135245937651
"sub-15","backward","2",14.8586347639964
"sub-15","backward","none",11.0160302214411
"sub-16","forward","1",22.0034109741731
"sub-16","forward","2",35.4117717339614
"sub-16","forward","none",14.3754367671749
"sub-16","backward","1",16.3820663286292
"sub-16","backward","2",18.7796839603962
"sub-16","backward","none",12.2695234851549
"sub-17","forward","1",13.3578720081677
"sub-17","forward","2",22.3541482608137
"sub-17","forward","none",3.84015038261645
"sub-17","backward","1",14.2026227231805
"sub-17","backward","2",14.0234656479009
"sub-17","backward","none",4.96472957081385
"sub-18","forward","1",11.1518563661897
"sub-18","forward","2",20.3315791803152
"sub-18","forward","none",12.8037864135419
"sub-18","backward","1",14.1234453090518
"sub-18","backward","2",19.9033721677142
"sub-18","backward","none",7.92372762573714
"sub-19","forward","1",12.242764165986
"sub-19","forward","2",19.7260683056928
"sub-19","forward","none",12.9204990853633
"sub-19","backward","1",23.7036718291639
"sub-19","backward","2",9.72729323541474
"sub-19","backward","none",12.6603761622122
"sub-20","forward","1",13.8595496039253
"sub-20","forward","2",11.9115156834133
"sub-20","forward","none",10.8593109709046
"sub-20","backward","1",12.4951495392434
"sub-20","backward","2",6.18458019973423
"sub-20","backward","none",13.3625307122578
"sub-21","forward","1",5.06966411303536
"sub-21","forward","2",26.0992957760306
"sub-21","forward","none",11.6380169183832
"sub-21","backward","1",12.4746241059364
"sub-21","backward","2",19.0910802754837
"sub-21","backward","none",12.4466394944458
"sub-22","forward","1",7.69678780639003
"sub-22","forward","2",16.6977786738356
"sub-22","forward","none",5.61721380233018
"sub-22","backward","1",12.7184371838751
"sub-22","backward","2",11.0307130589019
"sub-22","backward","none",5.09916684854318
"sub-23","forward","1",4.90833967362291
"sub-23","forward","2",20.933071561184
"sub-23","forward","none",10.0552283464521
"sub-23","backward","1",18.8560142669581
"sub-23","backward","2",8.65526682379313
"sub-23","backward","none",7.81818381730998
"sub-25","forward","1",7.85471517897849
"sub-25","forward","2",20.0415450341774
"sub-25","forward","none",7.92953598326085
"sub-25","backward","1",8.20681122855273
"sub-25","backward","2",20.2451340391909
"sub-25","backward","none",8.50956210871779
"sub-26","forward","1",6.71524690574768
"sub-26","forward","2",15.0555929530936
"sub-26","forward","none",8.60011872204006
"sub-26","backward","1",18.8794819837177
"sub-26","backward","2",9.82593890532503
"sub-26","backward","none",8.17024429368141
"sub-27","forward","1",10.2862001626434
"sub-27","forward","2",21.8641765620773
"sub-27","forward","none",5.82836703866721
"sub-27","backward","1",11.7922307532839
"sub-27","backward","2",12.5290447212841
"sub-27","backward","none",6.70230676027301
"sub-28","forward","1",19.3916539029917
"sub-28","forward","2",16.6815380644639
"sub-28","forward","none",11.3907899418628
"sub-28","backward","1",26.3266475631009
"sub-28","backward","2",19.858896095923
"sub-28","backward","none",12.635438107513
"sub-29","forward","1",15.6958467199384
"sub-29","forward","2",19.3172509162931
"sub-29","forward","none",9.48829626953926
"sub-29","backward","1",27.6537127659784
"sub-29","backward","2",13.1160095228544
"sub-29","backward","none",10.4990045621953
"sub-30","forward","1",10.2841035877744
"sub-30","forward","2",11.0385516827716
"sub-30","forward","none",12.0646551391944
"sub-30","backward","1",22.9237607944712
"sub-30","backward","2",12.5624777065162
"sub-30","backward","none",5.22188034923348
"sub-32","forward","1",16.5937730660202
"sub-32","forward","2",13.3557854784343
"sub-32","forward","none",14.4660301514779
"sub-32","backward","1",10.7820662314539
"sub-32","backward","2",9.54987408080876
"sub-32","backward","none",13.3306631382345
"sub-33","forward","1",19.8989053054224
"sub-33","forward","2",22.2268783372968
"sub-33","forward","none",10.0990056342635
"sub-33","backward","1",21.2248058034713
"sub-33","backward","2",19.9363487294047
"sub-33","backward","none",7.54786773787488
"sub-34","forward","1",17.1891440594479
"sub-34","forward","2",23.1476659214132
"sub-34","forward","none",12.2775573338791
"sub-34","backward","1",20.8833518211928
"sub-34","backward","2",12.1336930256559
"sub-34","backward","none",13.5936333863562
"sub-35","forward","1",14.0278564153673
"sub-35","forward","2",16.7091945653245
"sub-35","forward","none",10.7745891064532
"sub-35","backward","1",20.4006309088434
"sub-35","backward","2",15.8609500568715
"sub-35","backward","none",7.89445702406652
"sub-36","forward","1",7.9510969278685
"sub-36","forward","2",25.5061205803832
"sub-36","forward","none",8.26133139031584
"sub-36","backward","1",15.9677589474383
"sub-36","backward","2",11.6760604821726
"sub-36","backward","none",8.92519274557999
"sub-38","forward","1",13.5795537938033
"sub-38","forward","2",12.1621520342367
"sub-38","forward","none",8.51388373175063
"sub-38","backward","1",12.2938218579826
"sub-38","backward","2",9.31937185718601
"sub-38","backward","none",7.9043031850504
"sub-39","forward","1",8.02253016412791
"sub-39","forward","2",21.7900330239457
"sub-39","forward","none",8.97612463842002
"sub-39","backward","1",14.8334795221693
"sub-39","backward","2",13.4187772425947
"sub-39","backward","none",7.68225266259005
